scope,domain,outcome,perturbation,flip_rate_A_to_R,flip_rate_A_to_R_ci_low,flip_rate_A_to_R_ci_high,topk_instability,topk_instability_ci_low,topk_instability_ci_high,N,K
domain,CS,QI,group_BF_to_WM,0.03571428571428571,0.0,0.13333333333333333,0.007142857142857145,0.0,0.016071428571428577,20.0,7.0
domain,CS,QI,group_BF_to_WM,0.0625,0.0,0.16666666666666666,0.00625,0.0,0.0140625,20.0,8.0
domain,CS,QI,institution_HI_to_LI,0.0625,0.0,0.3,0.0125,0.0,0.034375,20.0,4.0
domain,CS,QI,institution_HI_to_LI,0.1,0.0,0.25,0.012499999999999997,0.0,0.02749999999999999,20.0,5.0
domain,CS,QI,institution_HI_to_LI,0.125,0.0,0.29411764705882354,0.008333333333333331,0.002083333333333333,0.016666666666666663,20.0,6.0
domain,CS,QI,institution_HI_to_LI,0.10714285714285714,0.0,0.3076923076923077,0.007142857142857145,0.0,0.016071428571428577,20.0,7.0
domain,CS,QI,institution_HI_to_LI,0.0625,0.0,0.21621621621621623,0.00625,0.0,0.015625,20.0,8.0
domain,CS,QI,bibliometrics_HP_to_LP,0.4375,0.0,0.7142857142857143,0.028125,0.00625,0.05625,20.0,4.0
domain,CS,QI,bibliometrics_HP_to_LP,0.2,0.0,0.5,0.009999999999999998,0.0,0.024999999999999994,20.0,5.0
domain,CS,QI,bibliometrics_HP_to_LP,0.125,0.0,0.25,0.006249999999999999,0.0,0.012499999999999997,20.0,6.0
domain,CS,QI,bibliometrics_HP_to_LP,0.10714285714285714,0.0,0.2222222222222222,0.005357142857142859,0.0,0.010714285714285718,20.0,7.0
domain,CS,QI,bibliometrics_HP_to_LP,0.0625,0.0,0.14814814814814814,0.0046875,0.0,0.009375,20.0,8.0
